lemma	pos	match	ids	headwords	parts
свой	pron	exact	1139-1-04	Свой	supplement
свы́ше	adv	exact	0149-2-12	Выше и свыше	main
святы́й	adj/n	none			
святе́йший	adj.sup	none			
святи́тель	n.m	none			
святы́ня	n.f	none			
свяще́нный	adj	none			
сей	pron	exact	0626-1-07	Сей	main
се́рдце	n.n	exact	0629-2-04	Сердце	main
Серафи́м	n.pl	none			
Се́ргий	n.prop	none			
си́ла	n.f	exact	0633-1-06	Сила	main
си́льный	adj	none			
сирота́	n.f/m	none			
си́рый	adj/n	none			
си́це	adv	exact	0639-1-02	Сице	main
ско́рый	adj	none			
скорбь	n.f	none			
ско́рбный	adj	none			
скорбе́ти	v	none			
скры́ти	v	none			
сла́ва	n.f	exact	0649-2-05	Слава	main
сла́внейший	adj.sup	none			
слеза́	n.f	none			
сле́зно	adv	none			
слепы́й	adj/n	none			
Сло́во	n.n	exact	0654-1-02;0944-1-05	Слово и дѣло;слово	main;supplement
слу́шати	v	verb	0656-2-02	СЛУшАю	main
слы́шати	v	none			
слы́шание	n.n	exact	0657-1-03	Слышаніє	main
смерть	n.f	none			
смертоно́сный	adj	exact	0658-1-07	Смертоносный	main
смире́ние	n.n	exact	0659-1-03	Смиреніє	main
смысл	n.m	none			
смяте́ние	n.n	none			
соблюсти́	v	exact	0663-2-07	Соблюсти	main
соверша́ти	v	verb	0665-1-04	Совершаю	main
соверше́нный	adj	exact	0665-1-07	Совершенный	main
со́весть	n.f	none			
содева́ти(ся)	v	none			
созда́ти	v	none			
сокро́вище	n.n	none			
сокруше́ние	n.n	none			
сокруше́нный	adj	exact	0670-2-07	Сокрушенный	main
сосло́вие	n.n	none			
сотворя́ти	v	none			
сохрани́ти	v	none			
Спас	n.m	soft	0732-2-03	Съпасъ	main
спаса́ти(ся)	v	none			
спасе́ние	n.n	exact	0685-1-08	Спасеніе	main
спаси́тельный	adj	none			
Спаси́тель	n.m	exact	0685-2-03	Спаситель	main
спасти́(ся)	v	none			
списа́тель	n.m	exact	0686-1-11	Списатель	main
сподо́битися	v	none			
спосо́бствовати	v	verb	0688-1-12	Способствую	main
спребыва́ти	v	none			
сравне́ние	n.n	none			
ста́рец	n.m	exact	0696-1-04	Старецъ	main
стена́	n.f	exact	0718-1-14	Стена	main
сто́льный	adj	exact	1146-2-03	Стольный	supplement
страна́	n.f	exact	0707-1-02	Страна	main
стра́нно	adv	exact	0707-1-06	Странно	main
стра́стный	adj	none			
страх	n.m	exact	0709-1-10	Страхъ	main
сугу́бо	adv	none			
суд	n.m	exact	0724-2-02;1147-1-02	судъ;Судъ	main;supplement
сумни́тельно	adv	none			
сумни́тельный	adj	none			
супоста́т	n.m	exact	0727-2-10	Супостатъ	main
Сын	n.m	exact	0733-2-03	Cын	main
той, та	pron	exact	0769-2-09	Тои	main
та́йна	n.f	none			
таковы́й	pron/adj	none			
та́мо	adv	none			
тварь	n.f	none			
твой	pron	none			
твори́ти	v	none			
теле́сный	adj	exact	0780-2-05	Тѣлесный	main
те́ло	n.n	exact	1152-2-04	Тѣло	supplement
те́мже	conj	none			
те́плый	adj	exact	0751-2-05	Теплый	main
тещи́	v	none			
ти́хий	adj	none			
ток	n.m	exact	0762-1-16	Токъ	main
то́йжде	pron	none			
трепета́ти	v	none			
трикра́тный	adj	none			
труд	n.m	exact	0773-2-12	Трудъ	main
тща́тися	v	none			
ты	pron	none			
тьма	n.f	none			
у	prep	exact	0782-3-01;0782-4-02	Оў;Оў	main;main
увеселя́ти	v	none			
украше́ние	n.n	none			
укрепи́ти	v	none			
укрепле́ние	n.n	none			
укрепля́ти	v	none			
ум	n.m	none			
умаща́ти	v	none			
умиле́ние	n.n	exact	0792-1-13	Оумиленіє	main
умиле́нный	adj	exact	0792-1-14	Оўмиленный	main
умоли́ти	v	exact	0793-1-09	Оўмолити	main
умудри́ти	v	none			
упова́ти	v	none			
упова́ние	n.n	none			
усе́рдный	adj	none			
усе́рдно	adv	none			
уста́, устна́	n.pl	none			
устраша́ти	v	none			
устраше́ние	n.n	exact	0801-1-09	Оӱстрашеніє	main
усынови́ти	v	none			
утверди́ти	v	none			
утвержда́ти	v	none			
утвержде́ние	n.n	none			
утеше́ние	n.n	none			
Уте́шительница	n.f	none			
утоли́ти	v	exact	0803-2-03	Оутолити	main
утро́ба	n.f	none			
уче́ние	n.n	exact	0807-2-08	Оученіє	main
хвале́бный	adj	none			
хвали́ти	v	none			
хвала́	n.f	none			
Херуви́м	n.pl	exact	0821-2-05	Херувимъ	main
хода́тайство	n.n	exact	0826-2-10	Ходатайство	main
хода́тайствовати	v	verb	0826-2-12	Ходатайствую	main
Хода́таица	n.f	none			
ходи́ти	v	none			
хоте́ти	v	none			
храм	n.m	none			
храни́лище	n.n	none			
Храни́тельница	n.f	exact	0832-2-06	Хранительница	main
Христо́с	n.prop	none			
христиани́н	n.m	none			
христиа́нский	adj	none			
Христо́в	adj	none			
христолюби́вый	adj	exact	0833-2-05	Христолюбивый	main
хромы́й	adj/n	exact	0833-2-15	Хромый	main
Царегра́д	n.prop	none			
Цари́ца	n.f	none			
Ца́рствие	n.n	none			
ца́рствовати	v	none			
Царь	n.m	exact	0837-1-06	Царь	main
целому́дрие	n.n	none			
цельбоно́сный	adj	none			
Це́рковь	n.f	exact	0180-1-09;0306-2-08;0839-2-02	церковь;Крестовая палата или церковь;Церковь	main;main;main
челове́к	n.m	none			
честне́йший	adj.sup	none			
честны́й	adj	exact	0855-1-06	Честный	main
честь	n.f	exact	0855-1-10;1155-4-02	Честь;Честь	main;supplement
чи́стый	adj	exact	0861-2-11	Чистый	main
чистота́	n.f	exact	0861-2-09	Чистота	main
чти́ти	v	none			
чу́до	n.n	exact	0864-2-11	Чудо	main
чу́дный	adj	exact	0864-2-10	Чудный	main
щедро́ты	n.pl	none			
щит	n.m	none			
ю́ный	adj/n	none			
яви́ти(ся)	v	none			
явле́ние	n.n	none			
явля́ти	v	none			
я́зва	n.f	none			
язы́к	n.m	exact	0886-2-11	Языкъ	main
я́ко	conj	none			
я́коже	conj	none			
он, она, они	pron	exact	1034-1-02	Иліополь или Онъ	supplement
